ResponseId,nps,company,Year,month,TENURE,GENERATION,ROLE,LOCATION,COMPANY,GENDER,Change
R_Wei7Ie12Y,9,Ergon,2019,September,8-12 years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,US - Jackson MS,Corporate + Other,NA,"As a ""baby boomer"", a clearer understanding of educational goals that would help me advance or help the company would be great. When brought up in meetings, I feel like an insecure high school kid that has no idea what direction to go in. Maybe understanding what direction the company expects me to go in would help. With that said, I am going to be setting up a meeting with my supervisor/management (that is younger than me) to discuss this."
R_m997ytnTB,7,Ergon,2019,September,Less than a year,Generation Y (born between 1981 - 2000),Research + Technology Development,US - Jackson MS,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"Stopping the culture of blaming others for anything that doesn't go well.  Specifically between sales, research, tech, and production.  It seems to be a tremendous waste of time."
R_dylX07hTA,9,Ergon,2019,September,8-12 years,Baby Boomer (born between 1946 - 1965),Operations,US - Midwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"health insurance cost , allowing medical marijuana for illness... I could not mark strongly agree on any thing  it was not showing on the screen"
R_tf5lYeYEc,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Research + Technology Development,US - Jackson MS,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,The flexibility to work at home when you have a slower week/ are not doing as much in the lab physically. I feel as though I work better when I am alone because I tend to get more distracted by others (3+ people in one office).
R_swPm32Jwj,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Management,US - Jackson MS,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Communication
R_j80oIWmIV,9,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Admin + Corporate Support,US - Jackson MS,Corporate + Other,NA,Four day work week.
R_TNhnAOqEQ,6,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Management,US - Northeastern,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"Technical director with vision, ownership, project and people management skills, high expectations, high quality standards, sense of urgency, leadership, communication among peers."
R_JNv5wQtWI,8,Ergon,2019,September,Less than a year,Generation Y (born between 1981 - 2000),"Health, Safety + Environment",US - Jackson MS,Corporate + Other,NA,Accountability
R_dHeEtYOsw,9,Ergon,2019,September,8-12 years,Generation X  (born between 1966 - 1980),Sales + Marketing,US - Midwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Often times the internal communication is lacking or very slow.
R_GbZJCxvkh,9,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Research + Technology Development,US - Jackson MS,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"Stronger connections with upper management. Mr. Lampton was good at knowing his employees outside of just what they do at work, but for who they are as a person."
R_GF8CQ3OQz,9,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Sales + Marketing,US - Jackson MS,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,R&D support
R_utp2vkxH7,7,Ergon,2019,September,4-8 years,Baby Boomer (born between 1946 - 1965),Management,US - Jackson MS,Corporate + Other,NA,Address a few trends setting in since the founder stepped down/passed away.  1)  Who you are buddies with matters more than what you are bringing to the company when it comes to promotion.  2)  Let's play it safe and not reward (even marginalize) risk takers.    Get a new CEO.
R_4lv92ocBq,10,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Research + Technology Development,US - Jackson MS,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"Real field and application support for our specialty products. It will save a lot of time, money, and headaches, and it will make us and our customers a lot more successful."
R_rMBAfrDcZ,8,Ergon,2019,September,12+ years,Generation Y (born between 1981 - 2000),Sales + Marketing,US - Midwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"Inter-departmental communication needs to be better and/or more frequent, such as between sales and operations."
R_IyPorYKoJ,10,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Research + Technology Development,US - Jackson MS,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,I don't know enough about the overall operations of the organization to make a well informed recommendation of this type.
R_VeYcqDN1B,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Research + Technology Development,US - Southeastern,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,The opportunity for younger employees to apply for bigger roles in the company.
R_WqOYU6TvC,10,Ergon,2019,September,NA,NA,NA,NA,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Behavior based performance objectives and biannual reviews. Also monthly non financial key objective setting and review.
R_uaGzL8N1s,8,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Sales + Marketing,US - Midwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,More cross functional interaction let's say between A&E and ErgonArmor.
R_u9S1US6xb,9,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Sales + Marketing,US - Jackson MS,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Using personality traits as part of the interview process to match possible candidates to the company culture.
R_LFBCFVcaA,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Finance + Accounting,US - Jackson MS,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"From a data perspective, it is maintaining the companies inventories in SAP, creating process changes at the plants, that will allow for real time costing of material. Having margin at the product level will allow for the company to know which products we should focus on and which products to move on from."
R_tuOVHLP0H,9,Ergon,2019,September,8-12 years,Generation Y (born between 1981 - 2000),Research + Technology Development,US - Jackson MS,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Recognition and compensation for hard and valuable work ethic.
R_xAJXYpJxD,9,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,US - West/Southwest,Crafco,NA,"Shorter work weeks, longer days - alternating Thursdays or Fridays with others on the same team, such as the 9x9 schedule. Most of our department's work takes place on M-W each week."
R_kSRms66Ia,9,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Management,US - Southeastern,Crafco,NA,Strategic Planning across the organization.
R_mQs9I8kfI,5,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,US - Northeastern,Crafco,NA,"Pay rates for those in supply center positions should be at least double what they are currently.  We're asked to do what should be a $150,000 a year job for around $50k."
R_eg6e5x530,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,US - Midwest,Crafco,NA,"open communication with EVERYBODY.  No hints at what we are working toward but total transparency. Allow for input from all.  People that work in the manufacturing facilities that see the patterns in productions, that know the customers, and understand their wants and needs."
R_JlV23sdTN,8,Ergon,2019,September,Less than a year,Generation Y (born between 1981 - 2000),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,Benefits- not have to wait so long to start earning leave I would recommend you earn time monthly and can keep it Maternity/Paternity paid leave Eye Insurance
R_GEHm68nHs,8,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Research + Technology Development,US - Southeastern,Specialty Chemicals (Resinall),NA,Higher starting wages to attract better workers during this period of time of  few applicants.
R_jW7AgzQLo,9,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,US - West/Southwest,Crafco,NA,Better determination of when orders actually need to ship so that product that is past its ship date can be used  for other orders.  WIll reduce inventory and lead times.
R_08gUUkx9R,5,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,Hire and retain more people at Severn Plant
R_ot41EAUal,10,Ergon,2019,September,Less than a year,Baby Boomer (born between 1946 - 1965),Management,US - Southeastern,Specialty Chemicals (Resinall),NA,Not sure of any single change that would have an impact.
R_9EfrUbWoG,8,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Sales + Marketing,Latin America,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Communication across the different levels of the organization
R_8n8xVaRUw,8,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Management,US - Southeastern,Specialty Chemicals (Resinall),NA,pay increase
R_uF7AEZBFR,9,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Research + Technology Development,US - Southeastern,Specialty Chemicals (Resinall),NA,"Transparancy.  The more the employees hear from upper management about goals, vision, and a path forward, the more involved they will feel.  When people feel like their job and their responsibilities truly matter, the more they will give of themselves."
R_KHS7s2B1j,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,US - Southeastern,Crafco,NA,update the existing equipment
R_ShRDvFmf5,9,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Research + Technology Development,US - West/Southwest,Crafco,NA,"Many small changes come to mind, not just  a single one...."
R_Kf9D16VJr,9,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Management,US - West/Southwest,Crafco,NA,More communication from top to bottom
R_eJpoCTHlA,10,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Management,US - West/Southwest,Crafco,NA,"Leadership needs to make more decisions based on facts/data and not a ""knee-jerk"" type reaction based on what they think is happening.  Also,  some decisions get made during times of elevated stress or emotion that should have been thought about more rationally in order to come to a decision."
R_i4erZG2UB,1,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,communication!
R_e7DZ8wFip,10,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Research + Technology Development,US - West/Southwest,Crafco,NA,Train the sales team better in existing product operation and capabilities.
R_BMbhIwYPx,9,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,US - West/Southwest,Crafco,NA,Streamline your product line to be more efficient.
R_xBmbAptiE,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Management,US - Northeastern,Crafco,NA,communication
R_HuiwiZ2g5,NA,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Operations,US - Northeastern,Specialty Chemicals (Resinall),NA,more money people helping each person and people doing there job bagger bag and flaker flake so people move up and learn more
R_CtXPejoVH,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Sales + Marketing,US - Southeastern,Crafco,NA,diversification
R_KRu3geuLJ,9,Ergon,2019,September,Less than a year,Baby Boomer (born between 1946 - 1965),Operations,US - Northeastern,Crafco,NA,Improved stock position; quicker turnaround on parts and equipment orders.
R_FlyhS7ryJ,7,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Sales + Marketing,US - West/Southwest,Crafco,NA,More recognition.
R_EFJFoC4IP,9,Ergon,2019,September,Less than a year,Baby Boomer (born between 1946 - 1965),Sales + Marketing,US - Midwest,Crafco,NA,"Consider including service center supervisors and technicians participate in a sales incentive program, enabling and motivating them to educate the customers we already have to products and services they might not know they need.  A hundred bucks goes a long way for some people.  Thanks for asking."
R_Mmhi2wBVd,8,Ergon,2019,September,8-12 years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,US - West/Southwest,Crafco,NA,Leaders should sit with each employee to understand what their job entails to see if they might be overwhelmed compared to others in the same department.  This would help them understand what and how much each employee actually does.
R_MqJ82E2Ld,7,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Research + Technology Development,US - Southeastern,Specialty Chemicals (Resinall),NA,More diversity and less favoritism.
R_FGKrpBxqO,8,Ergon,2019,September,8-12 years,Baby Boomer (born between 1946 - 1965),Management,US - Midwest,Crafco,NA,Positive feedback and recognition for a job done well.
R_BDQQFohNh,5,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,US - Midwest,Crafco,NA,stop the constant changes
R_iE9f4qoIN,2,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Management,US - Midwest,Crafco,NA,quit using the term that's how we have always done it
R_dPwmOGGX7,8,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,Better medical insurance
R_i85ng5YnB,10,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),Sales + Marketing,US - West/Southwest,Crafco,NA,Crafco would benefit to adopt and implement a performance management program and overhaul the existing annual review process.  Goals between departments need to align up into specific business goals to reduce or eliminate conflicting goals.
R_AMMpiEKtf,10,Ergon,2019,September,8-12 years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,US - Jackson MS,Corporate + Other,NA,A good maternity leave program.
R_Pu2dgOXVV,5,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Admin + Corporate Support,US - West/Southwest,Crafco,NA,Software systems need to be improved to increase productivity. It seems software working against us instead of helping our productivity levels.  Either too slow or too much duplication of work to get desired result.
R_iQPgmAuL2,10,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Management,US - Southeastern,Specialty Chemicals (Resinall),NA,Better health insurance
R_17aFAj1e3,9,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Management,US - Southeastern,Specialty Chemicals (Resinall),NA,Health insurance co-pay program or can be mostly offset with HSA program to plan for future issues. very benificial
R_vyqHVYwBV,7,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Management,US - Southeastern,Specialty Chemicals (Resinall),NA,"Right now, a better sense of long term security"
R_S4360OkBq,6,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,More and better detailed feedback/communication between departments.
R_tqonOE6UQ,10,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Management,US - Southeastern,Specialty Chemicals (Resinall),NA,"Continued interest in the safety, growth, and well being of employees. For example ""Target Zero""...signs, TV monitors, safety rewards...all seem to have a positive effect on the morale of employees on my crew. So I believe continued efforts made in this area would definitely be beneficial to us all."
R_rzeEzVvpM,8,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,Pay according to job performance
R_dlOqsKKC9,8,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Research + Technology Development,US - West/Southwest,Crafco,NA,"More Training for employees, so they can grow into new positions within the company rather than watch people with little or no experience with our products be brought in from outside."
R_8JJsHJLns,10,Ergon,2019,September,8-12 years,Generation Y (born between 1981 - 2000),Management,Latin America,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,El cambio de actitud de algunos de los empleados
R_iXTSsIV1p,6,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,"valve handles, more hoses and fittings"
R_SOZZSPUbs,8,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,US - Jackson MS,Corporate + Other,NA,Educate employees on what the company is trying to achieve and how all the pieces and parts fit together to make the whole.
R_7CJ96LqgH,8,Ergon,2019,September,8-12 years,Generation X  (born between 1966 - 1980),Management,US - West/Southwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Getting Credit Department to move faster on setting up accounts. New product development teams have one or two people doing new product development and keeping  management out of product development to many false starts on eTac and eFlex.  Look at eScrub and eFog success these products were developed as a team and then moved out by that team.  We need to trust our people. Failure are going to happen in product development and you need to have Guidelines for Authority on spending and over rides inplace.
R_9IDK8b2E4,10,Ergon,2019,September,4-8 years,Baby Boomer (born between 1946 - 1965),Sales + Marketing,US - West/Southwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,making sure that new products are ready to sell to our regional markets
R_MKyomI6Lj,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Information Technology,US - Jackson MS,Corporate + Other,NA,Positive communication.
R_L861OYgRV,8,Ergon,2019,September,Less than a year,Generation Y (born between 1981 - 2000),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,better training plan
R_fGyswWbI5,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Management,US - West/Southwest,Crafco,NA,start holding the SLT group accountable for their actions when problems arise and they decide to make everyone feel inferior and not part of the solution.
R_9wWZp5T0i,10,Ergon,2019,September,Less than a year,Baby Boomer (born between 1946 - 1965),Operations,US - West/Southwest,Crafco,NA,Anything we can do to retain great talent.  Perhaps a survey of what other companies do to retain their middle to top talent may show that we need to do a better job understanding what our employees NEED versus WANT (if that makes sense).    I love my job and happy to be here and 'hope' others feel the same.
R_iQfjILe4N,9,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Operations,NA,Crafco,NA,new accounting program we can use on our own at our location
R_5MX5KFCuh,9,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,pay increse
R_LTU3b2fNa,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,Bring back Christmas Bonuses
R_e5sIO7XKM,10,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),Sales + Marketing,US - West/Southwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Better communication
R_XFtJBQTAN,8,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),Sales + Marketing,US - Southeastern,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,I feel like continued teamwork and a clear mission of the organization for all regions will most benefit Ergon.
R_XqnTlDbk3,10,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,"Bring back our bonus, have something for perfect attendence"
R_ljFgqIwNo,9,Ergon,2019,September,8-12 years,Baby Boomer (born between 1946 - 1965),Sales + Marketing,US - Midwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Annual company event for the marketing folks
R_WvnjqUSxO,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Sales + Marketing,US - West/Southwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"Love, gratefulness, kindness,"
R_MEcKm6sPh,10,Ergon,2019,September,Less than a year,Generation X  (born between 1966 - 1980),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,flaker needs to stay on floor at all times
R_GhGkOa6nY,8,Ergon,2019,September,Less than a year,Generation Y (born between 1981 - 2000),Operations,US - Northeastern,Specialty Chemicals (Resinall),NA,one single change that will help our company have a positive impact is for every one to be trained according to the how long they have been working for the company and how well they adapt to switching into a new position....
R_Nc9Jwcw9P,10,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Sales + Marketing,US - Midwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Clear objectives
R_tYnyyE8NN,10,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Sales + Marketing,US - Southeastern,Crafco,NA,"Streamline efficiencies, while removing redundancies."
R_mAeQyMwbl,5,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,MORE MAINTANCE DONE ON EQUIPTMENT AND TOOLS TO WORK WITH.. ITS HORRIBLE
R_PaAZHwRkk,9,Ergon,2019,September,8-12 years,Baby Boomer (born between 1946 - 1965),Sales + Marketing,US - Midwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Better Bonus Pay
R_JNo2x8kOL,10,Ergon,2019,September,4-8 years,Baby Boomer (born between 1946 - 1965),Sales + Marketing,US - Southeastern,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,KEEP UP WITH THE CURRENT PLAN OF ACTION
R_IbRmz5VPO,7,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Operations,US - Jackson MS,Specialty Chemicals (Resinall),NA,Have equipment running and materials we need.
R_yAJrFyexZ,6,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Research + Technology Development,US - Southeastern,Specialty Chemicals (Resinall),NA,"Recognize employee's years of service and good things that are going on in their lives i.e. birthdays, anniversaries, child's birth, acceptance into college etc.."
R_oc6oGQbr7,1,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,management evaluation or investigation
R_QOyku6rfZ,4,Ergon,2019,September,4-8 years,Baby Boomer (born between 1946 - 1965),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,Increase in pay scale.
R_0D6iTACn2,7,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,I think more diversity in the management department would possible lead to certain employees feeling like their voices and concerns are actually being heard.
R_mb7pM2CB0,10,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Sales + Marketing,US - Midwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,continued synergies and communicaton
R_WUE0Amx6W,3,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Operations,US - Midwest,Crafco,NA,Management with personal values that exceed the company's.
R_mhYfCEPvY,9,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),"Health, Safety + Environment",US - Southeastern,Specialty Chemicals (Resinall),NA,"Good communication.  Employees need and want information on how the company is doing.  Management can use this time to hear employee concerns.  These need to be addressed, acted on and followed up with the employees.  Also it give management time to feel out how employee moral is."
R_9MsvOYLcU,10,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),Sales + Marketing,US - West/Southwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Communication.
R_M4tOuLU2e,10,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Management,US - Northeastern,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"During slower periods of time build inventory so the employees are not working 50-55 hrs a week because we are so far behind on orders. Employees now a days do not want to work 6 days a week and all those hours, they have a life, kids and other things outside of work. Employees get very, tired and frustrated. With all those things going through an employees head that is how accidents happen."
R_lZ6x2iVju,10,Ergon,2019,September,8-12 years,Baby Boomer (born between 1946 - 1965),Sales + Marketing,US - Midwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Improve financial reporting so that better data facilitates better decision making. Supply group seems understaffed causing other groups to focus excessive time on supply management.
R_ImSUDVWUb,7,Ergon,2019,September,4-8 years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,US - West/Southwest,Crafco,NA,"Older and outdated management styles should be phased out, especially due to changing employee demographics and talent pools. Leadership should be inspirational as opposed to just transactional."
R_7OzvakiNA,10,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Management,US - Southeastern,Crafco,NA,Never stop looking for ways to help their employees with achiving their short and long term goals. We are only as good as all of our company employees.
R_sfkxQ38er,10,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Research + Technology Development,US - West/Southwest,Crafco,NA,EmPower
R_mnmihz65F,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Research + Technology Development,US - West/Southwest,Crafco,NA,"When the company decides to go into a business or product line, it needs to commit to that business or product line. We need to be in or out."
R_ntTCefGp4,8,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),"Health, Safety + Environment",Latin America,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,LIDERASGO
R_MfVptEsZR,9,Ergon,2019,September,Less than a year,Generation X  (born between 1966 - 1980),Sales + Marketing,US - Midwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Better onboarding of employees and initial training on products and services specific to the region or territory.
R_GxqsxcL0L,0,Ergon,2019,September,8-12 years,Generation X  (born between 1966 - 1980),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,I think an evaluation of management would be a must the buddy system has been in effect for to long at Resinall. A pay increase would be nice also we are behind pay scale according to other plants in our area . Thanks!
R_I9RvgdhAG,8,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Admin + Corporate Support,US - Southeastern,Specialty Chemicals (Resinall),NA,Better insurance as a whole
R_FoJWETS6L,9,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Finance + Accounting,Latin America,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"Cambio de Sistema informativo, el sistema actual es muy poco flexible, se hacen muchas cosas manuales."
R_jKrxNMuzs,10,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Sales + Marketing,US - West/Southwest,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"Implement a merit raise system that recognizes extra effort and work excellence. Giving all employees a 3% COLA is great, but it does not motivate employees to go above and beyond on a continual basis.   Recognize the outstanding effort of individuals and provide a career path that includes promotions."
R_Ql6gvA40m,9,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),"Health, Safety + Environment",Latin America,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,MAS CURSOS DE CAPACITACION PARA LA MEJORA CONTUNUA E INCENTIVOS.
R_xZydrmlKh,9,Ergon,2019,September,Less than a year,Generation Y (born between 1981 - 2000),Information Technology,US - Jackson MS,Corporate + Other,NA,Recognition for employees who take initiative and do more than what is expected of them.
R_R8kSS0WEl,10,Ergon,2019,September,8-12 years,Baby Boomer (born between 1946 - 1965),Management,US - Northeastern,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Having discussions with employees at each location before a major change is implemented.
R_ZtsicwZP4,10,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Finance + Accounting,Latin America,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,"Es una muy Buena empresa para trabajar, me gusta la preocupación que tiene hacia sus trabajadores por tener un buen ambiente de trabajo, como el hecho de tener la oportunidad de cursos de inglés y clases de ejercitación física, creo que por el momento no podría sugerir un cambio pues me siento cómoda como es ahora. Gracias."
R_1OxI8Gm6a,10,Ergon,2019,September,8-12 years,Generation Y (born between 1981 - 2000),Finance + Accounting,Latin America,"Asphalt + Emulsions (i.e., Ergon Asphalt, Paragon Technical Services, etc.)",NA,Se sugiere cambio de Sistema(Dynamics).
R_qJl7eZsBv,8,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Finance + Accounting,US - Jackson MS,Specialty Chemicals (Resinall),NA,"resinall as a whole is a good place to work.  when I was hired I was told that by my manager that I would never get recognized for doing a good job. (and have never received that.) Hourly employees are held to being on time taking only the alloted time for lunch etc, salary employees do not have to follow any rules can come and go as they please.  which I think is not a good representation to the hourly employees.  I was very excited to be bought by a large co that has values and a fair process."
R_8bmE5cvqj,5,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,TAKING THIS SURVEY ON SUPERVISORS COMPUTER IS NOT ONE OF THEM...
R_OUl1i0nqG,3,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Operations,US - Southeastern,Specialty Chemicals (Resinall),NA,more employees at this facility we only have about half the people here from when I started
